record_index,name,address_full,address_street,address_city,address_state,address_postal_code,address_confidence,address_verification,address_resolution_status,store_type,doordash_rating,doordash_reviews_label,google_rating,google_review_count,distance_miles,doordash_store_id,doordash_url,personal_category,customer_quality_prior,delivery_integrity_prior,personal_health_fit,q4_go_probability,q4_entropy,personal_policy_override,go_no_go,latitude,longitude,coordinate_source,coordinate_precision,coordinate_confidence,geocode_status
1,Marts To Go 6,"3224 Greenpond Rd, Gray Court, SC 29645",3224 Greenpond Rd,Gray Court,SC,29645,high,exact DoorDash store ID + Google business lookup,resolved_exact,physical convenience/gas store,,,5.0,8,15.1,33981583,https://www.doordash.com/convenience/store/33981583?pickup=false,general,0.805479,0.7,0.7,0.652789,0.775945,,GO,,,,,,pending
2,Family Dollar,"496 S Pleasantburg Dr, The Richmond Center, Greenville, SC 29607","496 S Pleasantburg Dr, The Richmond Center",Greenville,SC,29607,medium-high,probable branch match using delivery radius + 9:00 AM opening time + official Family Dollar locator,resolved_branch_context,physical retail store,4.2,100+,3.6,94,5.1,31611486,https://www.doordash.com/convenience/store/31611486?pickup=false,dollar_store,0.06,0.35,0.2,0.18,0.655703,NO-GO,NO-GO,,,,,,pending
3,Mike & Jeff’s BBQ,"2401 Old Buncombe Rd, Greenville, SC 29609",2401 Old Buncombe Rd,Greenville,SC,29609,high,exact DoorDash store ID + independent Google-rating aggregator,resolved_exact,physical restaurant,4.5,100+,4.7,893,8.5,26233246,https://www.doordash.com/store/26233246?pickup=false,general,0.774864,0.7,0.7,0.654917,0.81172,,GO,,,,,,pending
4,Feng Cha,"12 N Spring St, Greenville, SC 29601",12 N Spring St,Greenville,SC,29601,high,exact DoorDash store ID + Google business lookup,resolved_exact,physical restaurant / bubble tea shop,4.8,500+,4.8,275,6.9,25607864,https://www.doordash.com/store/25607864?pickup=false,general,0.870301,0.7,0.7,0.682809,0.713007,,GO,,,,,,pending
5,Sheltons Smoking Butts BBQ and Catering LLC,"155 Lake Pl, Greer, SC 29651",155 Lake Pl,Greer,SC,29651,high,exact DoorDash store ID + Google business lookup,resolved_exact,physical restaurant,3.9,200+,4.5,318,7.7,25735173,https://www.doordash.com/store/25735173?pickup=false,general,0.68224,0.7,0.7,0.618541,0.876736,,NO-GO,,,,,,pending
6,Jeni's Splendid Ice Creams,"12 E Broad St #6B, Greenville, SC 29601",12 E Broad St #6B,Greenville,SC,29601,high,exact DoorDash store ID + Google-indexed business listing,resolved_exact,physical ice cream shop,4.9,200+,4.6,223,7.0,23368049,https://www.doordash.com/store/23368049?pickup=false,general,0.865573,0.7,0.7,0.688422,0.705271,,GO,,,,,,pending
7,THEOS,"1941 SC-101, Greer, SC 29651",1941 SC-101,Greer,SC,29651,high,exact DoorDash store ID + Google business lookup,resolved_exact,physical family restaurant,4.6,500+,4.2,2228,8.6,24744002,https://www.doordash.com/store/24744002?pickup=false,general,0.833634,0.7,0.7,0.672886,0.758544,,GO,,,,,,pending
8,Tender Shack,"1022A Woodruff Rd, Greenville, SC 29607",1022A Woodruff Rd,Greenville,SC,29607,high,exact DoorDash store ID,resolved_exact,virtual brand,3.9,200+,,,2.0,1449043,https://www.doordash.com/store/1449043?pickup=false,general,0.68224,0.7,0.7,0.62828,0.808153,,NO-GO,,,,,,pending
9,GT Express Mart,"150 Old Mill Rd, Greenville, SC 29607",150 Old Mill Rd,Greenville,SC,29607,high,local_business_search,resolved_exact,,,,3.8,13,9.1,,,general,0.6541,0.7,0.7,0.606371,0.84988,,NO-GO,,,,,,pending
10,W.E. Willis,"3298 SC-14, Greer, SC 29651",3298 SC-14,Greer,SC,29651,high,local_business_search,resolved_exact,,,,3.5,52,11.9,,,general,0.6541,0.7,0.7,0.602804,0.878044,,NO-GO,,,,,,pending
